0			0
0.02			3.03343e-17
0.04			6.07666e-17
0.06			9.13948e-17
0.08			1.22317e-16
0.1			1.53631e-16
0.12			1.84014e-16
0.14			2.14984e-16
0.16			2.43799e-16
0.18			2.73397e-16
0.2			3.03876e-16
0.22			3.32494e-16
0.24			3.59347e-16
0.26			3.87375e-16
0.28			4.13835e-16
0.3			4.35982e-16
0.32			4.56757e-16
0.34			4.79099e-16
0.36			5.00265e-16
0.38			5.23194e-16
0.4			5.45142e-16
0.42			5.63365e-16
0.44			5.80804e-16
0.46			5.94714e-16
0.48			6.0235e-16
0.5			6.12338e-16
0.52			6.21933e-16
0.54			6.28391e-16
0.56			6.28968e-16
0.58			6.20919e-16
0.6			6.12869e-16
0.62			6.02074e-16
0.64			5.85789e-16
0.66			5.7264e-16
0.68			5.59882e-16
0.7			5.4477e-16
0.72			5.24561e-16
0.74			5.07878e-16
0.76			4.91979e-16
0.78			4.74118e-16
0.8			4.51551e-16
0.82			4.21535e-16
0.84			3.81325e-16
0.86			3.39545e-16
0.88			3.0482e-16
0.9			2.63037e-16
0.92			2.22821e-16
0.94			1.70058e-16
0.96			1.13374e-16
0.98			6.1392e-17
1			0
