0			0
0.02			-2.51444e-26
0.04			-5.02888e-26
0.06			-7.54332e-26
0.08			-1.00578e-25
0.1			2.38999e-25
0.12			-1.50866e-25
0.14			5.53431e-25
0.16			-2.01155e-25
0.18			-2.263e-25
0.2			4.77998e-25
0.22			4.52853e-25
0.24			-3.01733e-25
0.26			4.02565e-25
0.28			1.10686e-24
0.3			3.52276e-25
0.32			-4.0231e-25
0.34			3.01987e-25
0.36			-4.52599e-25
0.38			2.51698e-25
0.4			9.55996e-25
0.42			2.01409e-25
0.44			9.05707e-25
0.46			1.61e-24
0.48			-6.03466e-25
0.5			1.00832e-25
0.52			8.05129e-25
0.54			1.50943e-24
0.56			2.21372e-24
0.58			2.54178e-28
0.6			7.04552e-25
0.62			1.40885e-24
0.64			-8.04621e-25
0.66			-1.00323e-25
0.68			6.03974e-25
0.7			1.30827e-24
0.72			-9.05199e-25
0.74			-2.00901e-25
0.76			5.03396e-25
0.78			1.20769e-24
0.8			1.91199e-24
0.82			2.61629e-24
0.84			4.02819e-25
0.86			-1.81065e-24
0.88			1.81141e-24
0.9			-4.02056e-25
0.92			3.22001e-24
0.94			1.00654e-24
0.96			-1.20693e-24
0.98			2.41513e-24
1			0
