TITLE = Uexact.dat
VARIABLES = X, Y,Uexact.dat
Zone T = psi I = 21J = 21
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	
0.0000000000000000e+00	5.0000000000000003e-02	0.0000000000000000e+00	
0.0000000000000000e+00	1.0000000000000001e-01	0.0000000000000000e+00	
0.0000000000000000e+00	1.5000000000000002e-01	0.0000000000000000e+00	
0.0000000000000000e+00	2.0000000000000001e-01	0.0000000000000000e+00	
0.0000000000000000e+00	2.5000000000000000e-01	0.0000000000000000e+00	
0.0000000000000000e+00	3.0000000000000004e-01	0.0000000000000000e+00	
0.0000000000000000e+00	3.5000000000000003e-01	0.0000000000000000e+00	
0.0000000000000000e+00	4.0000000000000002e-01	0.0000000000000000e+00	
0.0000000000000000e+00	4.5000000000000001e-01	0.0000000000000000e+00	
0.0000000000000000e+00	5.0000000000000000e-01	0.0000000000000000e+00	
0.0000000000000000e+00	5.5000000000000004e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	6.0000000000000009e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	6.5000000000000002e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	7.0000000000000007e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	7.5000000000000000e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	8.0000000000000004e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	8.5000000000000009e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	9.0000000000000002e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	9.5000000000000007e-01	-0.0000000000000000e+00	
0.0000000000000000e+00	1.0000000000000000e+00	-0.0000000000000000e+00	
5.0000000000000003e-02	0.0000000000000000e+00	0.0000000000000000e+00	
5.0000000000000003e-02	5.0000000000000003e-02	7.7233628899189800e-04	
5.0000000000000003e-02	1.0000000000000001e-01	1.4690709208339231e-03	
5.0000000000000003e-02	1.5000000000000002e-01	2.0220026553257500e-03	
5.0000000000000003e-02	2.0000000000000001e-01	2.3770066817933931e-03	
5.0000000000000003e-02	2.5000000000000000e-01	2.4993327326677042e-03	
5.0000000000000003e-02	3.0000000000000004e-01	2.3770066817933931e-03	
5.0000000000000003e-02	3.5000000000000003e-01	2.0220026553257500e-03	
5.0000000000000003e-02	4.0000000000000002e-01	1.4690709208339235e-03	
5.0000000000000003e-02	4.5000000000000001e-01	7.7233628899189821e-04	
5.0000000000000003e-02	5.0000000000000000e-01	3.0607998310657120e-19	
5.0000000000000003e-02	5.5000000000000004e-01	-7.7233628899189876e-04	
5.0000000000000003e-02	6.0000000000000009e-01	-1.4690709208339237e-03	
5.0000000000000003e-02	6.5000000000000002e-01	-2.0220026553257500e-03	
5.0000000000000003e-02	7.0000000000000007e-01	-2.3770066817933931e-03	
5.0000000000000003e-02	7.5000000000000000e-01	-2.4993327326677042e-03	
5.0000000000000003e-02	8.0000000000000004e-01	-2.3770066817933935e-03	
5.0000000000000003e-02	8.5000000000000009e-01	-2.0220026553257496e-03	
5.0000000000000003e-02	9.0000000000000002e-01	-1.4690709208339237e-03	
5.0000000000000003e-02	9.5000000000000007e-01	-7.7233628899189854e-04	
5.0000000000000003e-02	1.0000000000000000e+00	-6.1215996621314240e-19	
1.0000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00	
1.0000000000000001e-01	5.0000000000000003e-02	1.4690709208339231e-03	
1.0000000000000001e-01	1.0000000000000001e-01	2.7943389443176483e-03	
1.0000000000000001e-01	1.5000000000000002e-01	3.8460776026273168e-03	
1.0000000000000001e-01	2.0000000000000001e-01	4.5213353879934555e-03	
1.0000000000000001e-01	2.5000000000000000e-01	4.7540133635867871e-03	
1.0000000000000001e-01	3.0000000000000004e-01	4.5213353879934555e-03	
1.0000000000000001e-01	3.5000000000000003e-01	3.8460776026273168e-03	
1.0000000000000001e-01	4.0000000000000002e-01	2.7943389443176496e-03	
1.0000000000000001e-01	4.5000000000000001e-01	1.4690709208339237e-03	
1.0000000000000001e-01	5.0000000000000000e-01	5.8219872488203014e-19	
1.0000000000000001e-01	5.5000000000000004e-01	-1.4690709208339246e-03	
1.0000000000000001e-01	6.0000000000000009e-01	-2.7943389443176501e-03	
1.0000000000000001e-01	6.5000000000000002e-01	-3.8460776026273168e-03	
1.0000000000000001e-01	7.0000000000000007e-01	-4.5213353879934555e-03	
1.0000000000000001e-01	7.5000000000000000e-01	-4.7540133635867871e-03	
1.0000000000000001e-01	8.0000000000000004e-01	-4.5213353879934555e-03	
1.0000000000000001e-01	8.5000000000000009e-01	-3.8460776026273146e-03	
1.0000000000000001e-01	9.0000000000000002e-01	-2.7943389443176501e-03	
1.0000000000000001e-01	9.5000000000000007e-01	-1.4690709208339239e-03	
1.0000000000000001e-01	1.0000000000000000e+00	-1.1643974497640603e-18	
1.5000000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00	
1.5000000000000002e-01	5.0000000000000003e-02	2.0220026553257500e-03	
1.5000000000000002e-01	1.0000000000000001e-01	3.8460776026273168e-03	
1.5000000000000002e-01	1.5000000000000002e-01	5.2936716769853539e-03	
1.5000000000000002e-01	2.0000000000000001e-01	6.2230842844207103e-03	
1.5000000000000002e-01	2.5000000000000000e-01	6.5433380433192060e-03	
1.5000000000000002e-01	3.0000000000000004e-01	6.2230842844207103e-03	
1.5000000000000002e-01	3.5000000000000003e-01	5.2936716769853539e-03	
1.5000000000000002e-01	4.0000000000000002e-01	3.8460776026273177e-03	
1.5000000000000002e-01	4.5000000000000001e-01	2.0220026553257509e-03	
